"sector","provincia","anio","vab","es_extractivo","region","participacion","variacion_pct"
"Servicios de seguros","Ciudad de Buenos Aires",2004,1747.4365599113858,FALSE,"CABA",0.4239978538603533,NA
"Servicios auxiliares a la actividad financiera","Ciudad de Buenos Aires",2004,805.650590115353,FALSE,"CABA",0.19548298862853108,NA
"Propiedad de la vivienda*","Ciudad de Buenos Aires",2004,4923.130070110511,FALSE,"CABA",1.1945478490550074,NA
"Resto","Ciudad de Buenos Aires",2004,12791.590225071443,FALSE,"CABA",3.1037503319527673,NA
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","Ciudad de Buenos Aires",2004,4789.8560403396805,FALSE,"CABA",1.1622102501432514,NA
"Enseñanza pública","Ciudad de Buenos Aires",2004,1276.4345870534319,FALSE,"CABA",0.3097139764153879,NA
"Enseñanza privada","Ciudad de Buenos Aires",2004,1260.7007823025283,FALSE,"CABA",0.30589632740855965,NA
"Salud pública","Ciudad de Buenos Aires",2004,930.9871404140886,FALSE,"CABA",0.2258946382163244,NA
"Salud privada","Ciudad de Buenos Aires",2004,2861.372690955067,FALSE,"CABA",0.6942832191407828,NA
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","Ciudad de Buenos Aires",2004,601.1953731319683,FALSE,"CABA",0.1458739926854085,NA
"Asociaciones","Ciudad de Buenos Aires",2004,1535.474393032809,FALSE,"CABA",0.37256737225210307,NA
"Servicios culturales y deportivos. Otras actividades","Ciudad de Buenos Aires",2004,2219.2688287674678,FALSE,"CABA",0.5384831942535891,NA
"Servicio doméstico*","Ciudad de Buenos Aires",2004,917.4868275966137,FALSE,"CABA",0.2226189234966192,NA
"Agricultura, ganaderia, caza y servicios conexos","Buenos Aires",2004,11726.00929775432,FALSE,"Pampeana",2.8451978690697106,NA
"Silvicultura, extracción de madera y servicios conexos","Buenos Aires",2004,17.841197835048344,FALSE,"Pampeana",0.004328986680204339,NA
"Pesca","Buenos Aires",2004,458.77333860634013,FALSE,"Pampeana",0.11131672270111004,NA
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","Buenos Aires",2004,64.88357040352315,TRUE,"Pampeana",0.015743343840354376,NA
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","Buenos Aires",2004,280.2450511468936,TRUE,"Pampeana",0.06799863466705394,NA
"Elaboración de productos alimenticios y bebidas","Buenos Aires",2004,8241.226167882052,FALSE,"Pampeana",1.9996503956269358,NA
"Elaboración de productos de tabaco","Buenos Aires",2004,291.3314873411471,FALSE,"Pampeana",0.07068864657430259,NA
"Fabricación de productos textiles","Buenos Aires",2004,1137.1347374484258,FALSE,"Pampeana",0.2759142731067952,NA
"Fabricación de prendas de vestir; terminación y teñido de pieles","Buenos Aires",2004,1849.0378693474213,FALSE,"Pampeana",0.44865038668389984,NA
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","Buenos Aires",2004,1080.5527592954866,FALSE,"Pampeana",0.2621852268830879,NA
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","Buenos Aires",2004,780.1154773758659,FALSE,"Pampeana",0.18928715110972938,NA
"Fabricación de papel y de  productos de papel","Buenos Aires",2004,1280.1886256041594,FALSE,"Pampeana",0.31062485600056616,NA
"Edición e impresión; reproducción de grabaciones","Buenos Aires",2004,808.1711239936324,FALSE,"Pampeana",0.1960945707480141,NA
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","Buenos Aires",2004,2151.8223866302005,FALSE,"Pampeana",0.5221179954402095,NA
"Fabricación de sustancias y productos químicos","Buenos Aires",2004,7230.600831318138,FALSE,"Pampeana",1.754432352471351,NA
"Fabricación de productos de caucho y plástico","Buenos Aires",2004,2782.030158359555,FALSE,"Pampeana",0.6750315539804476,NA
"Fabricación de productos minerales no metálicos","Buenos Aires",2004,1800.6135316861346,FALSE,"Pampeana",0.4369007096346593,NA
"Fabricación de metales comunes","Buenos Aires",2004,5057.760856970139,FALSE,"Pampeana",1.2272146513879674,NA
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","Buenos Aires",2004,2343.6271481722238,FALSE,"Pampeana",0.5686574859829385,NA
"Fabricación de maquinaria y equipo n.c.p.","Buenos Aires",2004,1738.2648771226998,FALSE,"Pampeana",0.4217724375517418,NA
"Fabricación de maquinaria de oficina, contabilidad e informática","Buenos Aires",2004,22.037131316267967,FALSE,"Pampeana",0.005347087612617095,NA
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","Buenos Aires",2004,1057.5553548807998,FALSE,"Pampeana",0.256605138689969,NA
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","Buenos Aires",2004,72.1854578909225,FALSE,"Pampeana",0.017515073180814147,NA
