"region","n","vab_total","media","mediana","cv","asimetria"
"Pampeana",260,307671.72993305867,1183.352807434841,180.05981474122956,247.54790558704022,5.1360264513815475
"CABA",52,116846.20098676287,2247.0423266685166,708.22370590833,174.04598475544822,3.0720188866504476
"Patagonia",260,57957.57926311452,222.91376639659433,32.08182422883548,425.4232722885986,13.281654892273567
"NOA",312,44639.285725171016,143.07463373452248,27.488249801492977,219.45213039430024,4.693222539053289
"Cuyo",156,32852.31995132519,210.59179455977684,63.120195978373786,190.75653274116613,3.8450630749436168
"NEA",208,26893.499985057948,129.2956730050863,22.342632078560477,190.39834378558078,3.4394865469713194
