"metodo","estimate","p_valor","ic_lower","ic_upper"
"Pearson",0.9663494510842593,1.165372981620051e-12,0.9173408322209928,0.9865053712951879
"Spearman",0.9584415584415584,8.392363834832841e-12,NA,NA
